id,question,response_options
trust_soc,How important are the following factors to you? Friend/family recommendations,1 = Not at all important; 2 = Not very important; 3 = Somewhat important; 4 = Very important; 5 = Extremely important
trust_acc,How important are the following factors to you? Easy access,1 = Not at all important; 2 = Not very important; 3 = Somewhat important; 4 = Very important; 5 = Extremely important
prc_1,"Assuming no knowledge of a specific storm, on average what are the chances that a tornado will occur within 25 miles of your residence on any given day?",1 = Less than 1%; 2 = Between 1% and 5%; 3 = Between 5% and 10%
prc_2,"Assuming no knowledge of a specific storm, please select the forecast that indicates the highest chance that you will experience a tornado tomorrow. If the chances are equal, select option three.",1 = There is a 50% chance that a tornado will occur within 25 miles of your location tomorrow.; 2 = There is a 2% chance that a tornado will occur within 1 mile of your location tomorrow.; 3 = The forecasts are equal.
prc_3,"Assuming no knowledge of a specific storm, please select the forecast that indicates the highest chance that you will experience a tornado tomorrow. If the chances are equal, select option three.","1 = There is a 70% chance that a severe thunderstorm will develop within 25 miles of your location tomorrow; if a severe thunderstorm develops, there is a 10% chance that a tornado will occur within 25 miles of your location.; 2 = There is a 2% chance that a tornado will occur within 25 miles of your location tomorrow.; 3 = The forecasts are equal."
prc_4,Imagine that forecasters believe there will be a severe thunderstorm in your area tomorrow afternoon that will cause flash flooding within 25 miles of your location. There is also a 1% chance that it will cause a tornado within 25 miles of your location. Which of the following events is more likely?,1 = A tornado will occur in your area.; 2 = A flash flood and a tornado will occur in your area.
prc_5,"Imagine that you live in a place that gets an average of one day of rain each week. Assuming no knowledge of a specific storm, what are the chances that you will get rain on any given day of the week?",1 = Less than 10%; 2 = Between 10% and 20%; 3 = More than 20%
rq_1,Does your local government have an emergency or disaster plan for your community?,0 = No; 1 = Yes; 2 = Not sure
rq_2,Do you know how to find the emergency broadcasting channel on the radio?,0 = No; 1 = Yes; 2 = Not sure
rq_3,"In the past 30 days, have you seen or heard any messages that encourage people to take steps to be prepared for emergency situations in your community?",0 = No; 1 = Yes; 2 = Not sure
rq_4,"In the last year, have you prepared a Disaster Supply Kit with emergency supplies like water, food and medicine that is kept in a designated place in your home?",0 = No; 1 = Yes; 2 = Not sure
rq_5,"In the last year, have you prepared a small kit with emergency supplies that you keep at home, in your car or where you work to take with you if you had to leave quickly?",0 = No; 1 = Yes; 2 = Not sure
rq_6,"In the last year, have you made a specific plan for how you and your family would communicate in an emergency situation if you were separated?",0 = No; 1 = Yes; 2 = Not sure
rq_7,"In the last year, have you established a specific meeting place to reunite in the event you and your family cannot return home or are evacuated?",0 = No; 1 = Yes; 2 = Not sure
rq_8,"In the last year, have you practiced or drilled on what to do in an emergency at home?",0 = No; 1 = Yes; 2 = Not sure
rq_9,"In the last year, have you volunteered to help prepare for or respond to a major emergency?",0 = No; 1 = Yes; 2 = Not sure
rq_10,Have you taken first aid training such as CPR in the past five years?,0 = No; 1 = Yes; 2 = Not sure
long_forcast,"If you were to guess, about how far in advance can meteorologists accurately forecast daily temperatures and rain?",1 = 5 days or less; 2 = 7 days; 3 = 10 days; 4 = 2 weeks; 5 = 4 weeks; 6 = 8 weeks; 7 = 2 months or more
covid_risk,How do you rate the risk of COVID-19 in relation to extreme weather/hurricane risks to you and the people in your area?,1 = The risk of COVID-19 is significantly lower than the risk of extreme weather; 2 = The risk of COVID-19 is lower than the risk of extreme weather; 3 = The risk are about the same; 4 = The risk of COVID-19 is higher than the risk of extreme weather; 5 = The risk of COVID-19 is significantly higher than the risk of extreme weather
covid_attention,Do you pay less attention to extreme weather/hurricane risks than you have in the past?,1 = Definitely no; 2 = Probably no; 3 = Not sure; 4 = Probably yes; 5 = Definitely yes
covid_respond,Do you think COVID-19 will make it more difficult for you and other people in your area to take protective action in response to future extreme weather/hurricane events?,1 = Definitely no; 2 = Probably no; 3 = Not sure; 4 = Probably yes; 5 = Definitely yes
your_ability,How would you rate your ability to calculate and interpret probabilities when making decisions?,1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
public_ability,How would you rate the ability of most people you know to calculate and interpret probabilities when making decisions?,1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
three_days,We are going to give you a timeline and ask you to indicate the type of information that is most important at each point in time. 3 days before the storm?,1 = Location; 2 = Timing; 3 = Chance; 4 = Severirty; 5 = Impact; 6 = Prospective actions
one_day,We are going to give you a timeline and ask you to indicate the type of information that is most important at each point in time. 1 day before the storm?,1 = Location; 2 = Timing; 3 = Chance; 4 = Severirty; 5 = Impact; 6 = Prospective actions
four_hours,We are going to give you a timeline and ask you to indicate the type of information that is most important at each point in time. 4 hours before the storm?,1 = Location; 2 = Timing; 3 = Chance; 4 = Severirty; 5 = Impact; 6 = Prospective actions
watch_leadtime,How much time do you think forecasters should give people between the inssuance of a tornado WATCH and the beginning of a storm at their location?,1 = Less than 1 hour; 2 = 1 hour; 3 = 2 hours; 4 = 3 hours; 5 = 4 hours; 6 = 5 hours; 7 = 6 hours; 8 = More than 6 hours
hr_risk_prob,How likely do you think it is that the area where you live will be affected by a hurricane in the next few months?,1 = Not at all likely; 2 ; 3 ; 4 ; 5 = Extremely likely
hr_risk_imp,"If the area where you live is affected by a hurricane in the next few months, how likely do you think it is that you will experience negative impacts from the storm?",1 = Not at all likely; 2 ; 3 ; 4 ; 5 = Extremely likely
hr_risk_aff,"If the area where you live is affected by a hurricane in the next few months, how worried are you that it will affect you?",1 = Not at all worried; 2 ; 3 ; 4 ; 5 = Extremely worried
huralerts,"The National Weather Service issues multiple public alerts during hurricanes, including storm surge watches and warnings, hurricane watches and warnings, and tropical storm watches and warnings. How would you rate your understanding of the differences between these alerts?",1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
hurwatch,"This alert is issued when storm surge, hurricane conditions, or tropical storm conditions are possible.",1= Hurricane WATCH; 2 = Hurricane WARNING; 3 = Don't know
hurwarn,"This alert is issued when storm surge, hurricane conditions, or tropical storm conditions are expected.",1= Hurricane WATCH; 2 = Hurricane WARNING; 3 = Don't know
ts_warn_time,"If the National Weather Service issues a tropical storm WARNING for your location, about how much time do you have before tropical storm conditions begin?",1 = less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 2 days; 4 = 2 to 4 days; 5 = 4 to 8 days
hur_warn_time,"If the National Weather Service issues a hurricane WARNING for your location, about how much time do you have before hurricane conditions begin?",1 = less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 2 days; 4 = 2 to 4 days; 5 = 4 to 8 days
srg_warn_time,"If the National Weather Service issues a storm surge WARNING for your location, about how much time do you have before storm surge (iundation from rising water moving inland) begin?",1 = less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 2 days; 4 = 2 to 4 days; 5 = 4 to 8 days
ts_watch_time,"If the National Weather Service issues a tropical storm WATCH for your location, about how much time do you have before tropical storm conditions begin?",1 = less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 2 days; 4 = 2 to 4 days; 5 = 4 to 8 days
hur_watch_time,"If the National Weather Service issues a hurricane WATCH for your location, about how much time do you have before hurricane conditions begin?",1 = less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 2 days; 4 = 2 to 4 days; 5 = 4 to 8 days
srg_watch_time,"If the National Weather Service issues a storm surge WATCH for your location, about how much time do you have before storm surge (iundation from rising water moving inland) begin?",1 = less than 1 hour; 2 = 1 to 24 hours; 3 = 1 to 2 days; 4 = 2 to 4 days; 5 = 4 to 8 days
hur_map_und,"Forecasters, webistes, and phone applications often use maps to display information about hurricane risks. How would you rate your understanding of maps?",1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
flood_watchwarn_und,How would you rate your understanding of rainfall-induced flood or flash flood watches and warnings?,1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
flood_srg_und,"For some people, it is difficult to explain the difference between flooding and storm surge. How would you rate your understanding of the difference between the two hazards?",1 = Poor; 2 = Fair; 3 = Good; 4 = Very good; 5 = Excellent
rip_hear,Have you ever heard of a rip current?,0 = No; 1 = Yes; 2 = Not sure
rip_risk,How do you rate the risk of rip currents to people swim in oceans?,1 = No risk; 2 = Low risk; 3 = Moderate risk; 4 = High risk; 5 = Extreme risk
rip_imp,"To the best of your knowledge, are the following statements about rip currents true or false? It is almost impossible to escape a rip current; if one catches you, you are unlikely to survive if someone does not come to rescue you.",1 = Definitely false; 2 = Probably false; 3 = Not sure; 4 = Probably true; 5 = Definitely true
rip_see,"To the best of your knowledge, are the following statements about rip currents true or false? If you look carefully, you can usually see rip currents from the shore.",1 = Definitely false; 2 = Probably false; 3 = Not sure; 4 = Probably true; 5 = Definitely true
hur_hist,Have you ever been in an area that was at risk of being hit by a hurricane (while you were there)? ,0 = No; 1 = Yes
rec_screen,"Do you agree with the following statements? Sometimes there is too much information, I get some but not all of it.",1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
prot_act,Think about the most recent hurricane that you were at risk of experiencing. Did you take some kind of protective action in response the hurricane?,0 = No; 1 = Yes
resp_usually,"Do you agree with the following statements? I usually take protective action, but not always.",1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
resp_always,"Do you agree with the following statements? I almost always take the protective actions that officials suggest, even if the actions are difficult.",1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
resp_more,"Do you agree with the following statements? I usually take some type of protective action, but not the most difficult actions.",1 = Strongly disagree; 2 = Disagree; 3 = Neither disagree nor agree; 4 = Agree; 5 = Strongly agree
info_nhc,"How often do you get information directly from the National Hurricane Center when hurricanes threaten your location? If you have not been in this situation, please tell us how often you might get information from the National Hurricane Center if you are in this situation in the future.",0 = Never; 1 = Rarely; 2 = Sometimes; 3 = Often; 4 = Always
wep_rec,"When you get information from forecasters, do you want:",1 = Numbers; 2 = Words; 3 = Both
gr_rec,"When you get information from forecasters, do you want:",1 = Graphics; 2 = Words or numbers; 3 = Both
